code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
WVB,,Sân bay Walvis Bay,-21.884722,35.425,52,,Africa/Maputo,BCW,MZ,,,,AP
CPT,UWUB,Sân bay qu?c t? Cape Town,53.933334,58.333332,1781,,Asia/Yekaterinburg,BCX,RU,Lomovka,Bashkortostan,,AP
DUR,,Sân bay qu?c t? King Shaka,6.216667,36.666668,6066,,Africa/Addis_Ababa,BCY,ET,Felege Neway,"Southern Nations, Nationalities, and People's Region",,AP
JNB,,Sân bay qu?c t? OR Tambo,-13.783333,137.8,85,,Australia/Darwin,BCZ,AU,,,,AP
MQP,TXKF,Sân bay qu?c t? Kruger Mpumalanga,32.3616236,-64.66575514,19,http://www.bermudaairport.com/,Atlantic/Bermuda,BDA,BM,,,,AP
HLA,YBUD,Sân bay qu?c t? Lanseria,-24.90353975,152.3196524,82,http://bundaberg.qld.gov.au/services/airport,Australia/Brisbane,BDB,AU,Thabeban,Queensland,Bundaberg,AP
MTS,SNBC,Sân bay Matsapha,-5.466667,-45.266666,551,,America/Fortaleza,BDC,BR,Barra do Corda,Maranhao,Barra Do Corda,AP
LVI,YBAU,Sân bay qu?c t? Harry Mwanga Nkumbula,-10.14901485,142.1730593,16,,Australia/Brisbane,BDD,AU,,,,AP
LUN,KBDE,Sân bay qu?c t? Kenneth Kaunda,48.7232658,-94.6044845,1056,,America/Chicago,BDE,US,,,,AP
NLA,3IS8,Sân bay qu?c t? Simon Mwansa Kapwepwe,41.183334,-89.65,787,,America/Chicago,BDF,US,Wyoming,Illinois,Stark County,AP
HRE,KBDG,Sân bay qu?c t? Harare,37.581466,-109.480294,5816,,America/Denver,BDG,US,Blanding,Utah,San Juan County,AP
VFA,OIBL,Victoria Falls Airport,26.53298565,54.82975543,78,,Asia/Tehran,BDH,IR,Bandar-e Lengeh,Hormozgan,,AP
BUQ,FSSB,Sân bay qu?c t? Joshua Mqabuko Nkomo,-3.7242605,55.20523768,36,,Indian/Mahe,BDI,SC,Bel Ombre,Bel Ombre,,AP
DOH,WAOO,,-3.44028625,114.7565086,36,,Asia/Makassar,BDJ,ID,Banjarbaru,South Kalimantan,,AP
CDG,DIBU,,8.0151654,-2.763268016,1227,,Africa/Abidjan,BDK,CI,Bondoukou,Zanzan,,AP
BUD,KBDL,,41.9405835,-72.68501994,173,http://www.bradleyairport.com/,America/New_York,BDL,US,Windsor Locks,Connecticut,Hartford County,AP
DOH,LTBG,,40.31775555,27.98138696,114,,Europe/Istanbul,BDM,TR,Bandirma,Balikesir,,AP
BNE,OPTH,Sân bay Brisbane,24.633333,68.9,42,,Asia/Karachi,BDN,PK,Badin,Sindh,,AP
OOL,WICC,Sân bay Gold Coast - Úc,-6.89951685,107.5760475,2421,,Asia/Jakarta,BDO,ID,Bandung,West Java,,AP
